100000;Fernanda Araujo;9.0;5
100001;Ana Ribeiro;9.3;7
100002;Julia Melo;8.0;12
100003;Fernanda Pereira;6.9;17
100004;Joao Ferreira;2.6;0
100005;Beatriz Ferreira;5.9;26
100006;Larissa Carvalho;5.4;24
100007;Maria Almeida;2.0;20
100008;Daniel Barbosa;2.4;30
100009;Daniel Costa;3.4;29
100010;Mariana Dias;3.8;4
100011;Daniel Martins;0.5;14
100012;Aline Lima;8.6;13
100013;Aline Oliveira;0.4;10
100014;Ana Silva;7.3;13
100015;Maria Oliveira;1.5;27
100016;Fernanda Oliveira;4.5;0
100017;Maria Carvalho;6.3;24
100018;Maria Pereira;3.4;15
100019;Joao Ferreira;9.2;25
100020;Felipe Souza;9.3;27
100021;Bruno Barbosa;7.8;24
100022;Thiago Dias;8.5;27
100023;Bruno Dias;9.1;16
100024;Thiago Rodrigues;3.9;24
100025;Pedro Silva;4.2;4
100026;Camila Souza;3.5;17
100027;Gustavo Gomes;3.2;22
100028;Ana Teixeira;8.3;30
100029;Lucas Costa;3.6;30
100030;Beatriz Carvalho;2.9;5
100031;Aline Araujo;2.6;5
100032;Beatriz Rocha;8.0;16
100033;Joao Oliveira;6.2;17
100034;Felipe Barbosa;2.9;14
100035;Rafael Lima;9.9;5
100036;Camila Oliveira;7.8;18
100037;Maria Teixeira;3.2;13
100038;Ana Ferreira;4.3;16
100039;Fernanda Costa;3.1;26
100040;Gustavo Santos;1.6;30
100041;Thiago Barbosa;6.9;30
100042;Julia Costa;3.5;13
100043;Patricia Teixeira;5.5;4
100044;Mariana Oliveira;5.9;22
100045;Patricia Carvalho;1.1;15
100046;Larissa Almeida;3.9;19
100047;Mariana Souza;8.2;11
100048;Larissa Ferreira;6.4;8
100049;Maria Silva;4.3;24
100050;Rafael Barbosa;3.1;24
100051;Camila Dias;4.5;7
100052;Aline Costa;8.5;19
100053;Mariana Ribeiro;9.0;5
100054;Maria Carvalho;4.9;11
100055;Beatriz Souza;2.9;6
100056;Rafael Melo;9.8;16
100057;Julia Costa;0.9;20
100058;Mariana Rocha;2.8;5
100059;Gabriel Pereira;9.3;18
100060;Daniel Santos;7.8;12
100061;Julia Santos;7.1;27
100062;Bruno Rodrigues;2.0;11
100063;Bruno Souza;3.9;11
100064;Larissa Oliveira;3.6;18
100065;Daniel Teixeira;9.8;17
100066;Pedro Santos;9.7;26
100067;Julia Araujo;8.2;23
100068;Fernanda Dias;4.7;7
100069;Julia Dias;9.5;8
100070;Julia Oliveira;0.0;24
100071;Maria Araujo;1.5;19
100072;Rafael Teixeira;6.8;7
100073;Patricia Pereira;7.0;0
100074;Pedro Lima;2.3;2
100075;Lucas Rocha;5.8;25
100076;Mariana Rodrigues;6.2;19
100077;Camila Santos;1.0;18
100078;Pedro Souza;3.2;24
100079;Aline Santos;4.7;14
100080;Joao Pereira;4.5;12
100081;Joao Ribeiro;7.9;12
100082;Pedro Rodrigues;0.4;1
100083;Felipe Dias;0.5;12
100084;Bruno Santos;1.1;19
100085;Ana Gomes;0.3;8
100086;Fernanda Souza;0.7;26
100087;Joao Dias;1.1;30
100088;Thiago Barbosa;0.4;27
100089;Beatriz Santos;7.7;2
100090;Mariana Santos;4.4;4
100091;Ana Silva;9.6;8
100092;Joao Teixeira;2.7;21
100093;Maria Rocha;3.6;15
100094;Gabriel Santos;6.0;30
100095;Bruno Teixeira;4.1;9
100096;Gabriel Souza;3.1;27
100097;Gustavo Santos;0.1;10
100098;Rafael Silva;9.6;28
100099;Maria Teixeira;1.5;23
100100;Ana Barbosa;8.2;3
100101;Felipe Ferreira;9.1;28
100102;Rafael Gomes;5.7;6
100103;Camila Barbosa;5.6;22
100104;Fernanda Oliveira;8.0;1
100105;Thiago Souza;4.5;26
100106;Aline Teixeira;2.8;1
100107;Aline Rodrigues;4.1;12
100108;Joao Rocha;8.7;22
100109;Ana Pereira;6.7;28
100110;Pedro Ferreira;4.8;8
100111;Felipe Rocha;7.7;19
100112;Larissa Lima;1.1;29
100113;Ana Souza;0.1;1
100114;Gabriel Teixeira;2.0;21
100115;Ana Dias;0.2;29
100116;Ana Santos;1.6;22
100117;Daniel Rocha;6.2;14
100118;Larissa Dias;9.0;10
100119;Camila Santos;2.6;2
100120;Pedro Martins;5.7;20
100121;Gabriel Rodrigues;2.9;29
100122;Gustavo Rocha;3.9;5
100123;Ana Melo;8.1;9
100124;Beatriz Gomes;1.5;13
100125;Felipe Silva;7.2;19
100126;Felipe Martins;4.6;7
100127;Pedro Carvalho;4.5;5
100128;Mariana Oliveira;5.3;15
100129;Julia Almeida;6.0;20
100130;Aline Lima;9.0;2
100131;Rafael Ferreira;3.8;15
100132;Maria Martins;9.6;1
100133;Joao Rocha;4.4;4
100134;Daniel Teixeira;0.5;22
100135;Joao Silva;7.5;4
100136;Beatriz Lima;5.0;30
100137;Larissa Pereira;0.0;0
100138;Daniel Rodrigues;5.5;13
100139;Ana Martins;1.9;5
100140;Julia Melo;1.9;18
100141;Thiago Almeida;1.7;26
100142;Mariana Almeida;5.8;10
100143;Gabriel Dias;6.5;25
100144;Larissa Araujo;7.1;7
100145;Daniel Almeida;0.4;23
100146;Camila Melo;1.1;15
100147;Julia Silva;10.0;8
100148;Thiago Dias;4.6;1
100149;Aline Oliveira;4.2;30
100150;Joao Carvalho;3.1;1
100151;Thiago Carvalho;6.9;1
100152;Gustavo Araujo;9.6;11
100153;Daniel Melo;2.2;26
100154;Daniel Ferreira;0.0;23
100155;Julia Carvalho;5.6;20
100156;Rafael Costa;6.1;13
100157;Rafael Martins;9.9;10
100158;Gabriel Araujo;1.9;9
100159;Maria Melo;0.0;29
100160;Julia Souza;6.6;18
100161;Maria Martins;3.5;24
100162;Mariana Martins;1.0;12
100163;Ana Carvalho;7.1;11
100164;Maria Martins;6.5;13
100165;Joao Lima;6.2;7
100166;Thiago Martins;0.5;6
100167;Fernanda Teixeira;7.7;29
100168;Rafael Souza;5.0;6
100169;Joao Melo;6.0;24
100170;Daniel Rocha;7.9;25
100171;Bruno Ribeiro;1.8;20
100172;Joao Rocha;1.9;13
100173;Gabriel Ribeiro;9.0;0
100174;Larissa Ferreira;8.6;13
100175;Camila Oliveira;0.1;22
100176;Gustavo Santos;9.8;2
100177;Ana Gomes;3.6;3
100178;Joao Dias;5.0;6
100179;Larissa Barbosa;7.3;4
100180;Rafael Almeida;2.1;29
100181;Thiago Pereira;6.0;26
100182;Pedro Rodrigues;7.6;17
100183;Ana Santos;2.4;24
100184;Gustavo Souza;9.9;10
100185;Camila Oliveira;5.3;15
100186;Larissa Souza;3.9;15
100187;Maria Carvalho;5.6;20
100188;Mariana Araujo;9.9;5
100189;Daniel Souza;9.9;15
100190;Camila Oliveira;9.1;20
100191;Fernanda Barbosa;0.0;27
100192;Felipe Araujo;3.8;12
100193;Gustavo Almeida;5.6;10
100194;Aline Araujo;4.9;20
100195;Daniel Oliveira;8.1;15
100196;Daniel Souza;8.8;12
100197;Pedro Souza;8.8;23
100198;Maria Rodrigues;7.7;14
100199;Lucas Dias;7.4;20
100200;Maria Gomes;8.9;11
100201;Gabriel Santos;8.4;9
100202;Ana Martins;3.1;6
100203;Camila Pereira;5.7;14
100204;Julia Ferreira;7.4;20
100205;Daniel Ribeiro;7.0;16
100206;Gustavo Martins;3.1;10
100207;Felipe Souza;1.4;30
100208;Patricia Rocha;5.9;12
100209;Lucas Ferreira;1.9;23
100210;Julia Ribeiro;2.7;16
100211;Fernanda Carvalho;1.7;23
100212;Daniel Pereira;1.8;24
100213;Ana Souza;7.7;14
100214;Gustavo Almeida;5.4;20
100215;Gustavo Gomes;6.8;1
100216;Bruno Pereira;2.2;23
100217;Thiago Santos;2.3;26
100218;Lucas Melo;3.9;10
100219;Gabriel Santos;7.7;4
100220;Larissa Ribeiro;4.2;9
100221;Aline Pereira;8.7;27
100222;Maria Oliveira;6.0;27
100223;Daniel Gomes;9.2;23
100224;Aline Lima;0.2;13
100225;Larissa Ferreira;0.3;23
100226;Maria Pereira;5.7;4
100227;Mariana Ferreira;1.6;20
100228;Camila Almeida;2.2;9
100229;Maria Almeida;1.6;4
100230;Larissa Pereira;7.2;19
100231;Camila Almeida;9.5;22
100232;Maria Martins;4.4;3
100233;Ana Pereira;6.9;1
100234;Bruno Carvalho;2.5;17
100235;Fernanda Araujo;2.0;19
100236;Daniel Teixeira;2.9;15
100237;Julia Martins;6.7;16
100238;Maria Dias;9.8;3
100239;Mariana Ferreira;2.0;21
100240;Beatriz Dias;0.7;1
100241;Patricia Souza;5.1;7
100242;Thiago Santos;7.8;13
100243;Ana Ribeiro;3.8;22
100244;Ana Souza;6.7;18
100245;Maria Ferreira;4.2;13
100246;Patricia Teixeira;0.3;8
